product_key,month,units
14,2025-12-01 00:00:00.000,441
15,2025-01-01 00:00:00.000,418
15,2025-02-01 00:00:00.000,44
15,2025-03-01 00:00:00.000,224
15,2025-04-01 00:00:00.000,443
15,2025-05-01 00:00:00.000,60
15,2025-06-01 00:00:00.000,397
15,2025-07-01 00:00:00.000,415
15,2025-08-01 00:00:00.000,121
15,2025-09-01 00:00:00.000,107
15,2025-10-01 00:00:00.000,415
15,2025-11-01 00:00:00.000,377
15,2025-12-01 00:00:00.000,301
16,2025-01-01 00:00:00.000,352
16,2025-02-01 00:00:00.000,179
16,2025-03-01 00:00:00.000,440
16,2025-04-01 00:00:00.000,363
16,2025-05-01 00:00:00.000,312
16,2025-06-01 00:00:00.000,323
16,2025-07-01 00:00:00.000,219
16,2025-08-01 00:00:00.000,84
16,2025-09-01 00:00:00.000,315
16,2025-10-01 00:00:00.000,71
16,2025-11-01 00:00:00.000,401
16,2025-12-01 00:00:00.000,105
17,2025-01-01 00:00:00.000,416
17,2025-02-01 00:00:00.000,105
17,2025-03-01 00:00:00.000,412
17,2025-04-01 00:00:00.000,30
17,2025-05-01 00:00:00.000,291
17,2025-06-01 00:00:00.000,179
17,2025-07-01 00:00:00.000,272
17,2025-08-01 00:00:00.000,143
17,2025-09-01 00:00:00.000,305
17,2025-10-01 00:00:00.000,275
17,2025-11-01 00:00:00.000,86
17,2025-12-01 00:00:00.000,165
18,2025-01-01 00:00:00.000,360
18,2025-02-01 00:00:00.000,149
18,2025-03-01 00:00:00.000,148
18,2025-04-01 00:00:00.000,293
18,2025-05-01 00:00:00.000,136
18,2025-06-01 00:00:00.000,487
18,2025-07-01 00:00:00.000,439
18,2025-08-01 00:00:00.000,263
18,2025-09-01 00:00:00.000,460
18,2025-10-01 00:00:00.000,347
18,2025-11-01 00:00:00.000,417
18,2025-12-01 00:00:00.000,48
19,2025-01-01 00:00:00.000,69
19,2025-02-01 00:00:00.000,492
19,2025-03-01 00:00:00.000,384
19,2025-04-01 00:00:00.000,402
19,2025-05-01 00:00:00.000,210
19,2025-06-01 00:00:00.000,470
19,2025-07-01 00:00:00.000,30
19,2025-08-01 00:00:00.000,141
19,2025-09-01 00:00:00.000,443
19,2025-10-01 00:00:00.000,335
19,2025-11-01 00:00:00.000,64
19,2025-12-01 00:00:00.000,359
3,2025-01-01 00:00:00.000,443
3,2025-02-01 00:00:00.000,67
3,2025-03-01 00:00:00.000,127
3,2025-04-01 00:00:00.000,74
3,2025-05-01 00:00:00.000,364
3,2025-06-01 00:00:00.000,164
3,2025-07-01 00:00:00.000,424
3,2025-08-01 00:00:00.000,126
3,2025-09-01 00:00:00.000,389
3,2025-10-01 00:00:00.000,431
3,2025-11-01 00:00:00.000,346
3,2025-12-01 00:00:00.000,201
2,2025-01-01 00:00:00.000,250
2,2025-02-01 00:00:00.000,72
2,2025-03-01 00:00:00.000,295
2,2025-04-01 00:00:00.000,323
2,2025-05-01 00:00:00.000,137
2,2025-06-01 00:00:00.000,321
2,2025-07-01 00:00:00.000,212
2,2025-08-01 00:00:00.000,192
2,2025-09-01 00:00:00.000,231
2,2025-10-01 00:00:00.000,38
2,2025-11-01 00:00:00.000,324
2,2025-12-01 00:00:00.000,406
20,2025-01-01 00:00:00.000,450
20,2025-02-01 00:00:00.000,393
20,2025-03-01 00:00:00.000,47
20,2025-04-01 00:00:00.000,206
20,2025-05-01 00:00:00.000,263
20,2025-06-01 00:00:00.000,383
20,2025-07-01 00:00:00.000,142
20,2025-08-01 00:00:00.000,355
20,2025-09-01 00:00:00.000,479
20,2025-10-01 00:00:00.000,449
20,2025-11-01 00:00:00.000,188
20,2025-12-01 00:00:00.000,232
21,2025-01-01 00:00:00.000,486
21,2025-02-01 00:00:00.000,249
21,2025-03-01 00:00:00.000,167
21,2025-04-01 00:00:00.000,297
21,2025-05-01 00:00:00.000,1
21,2025-06-01 00:00:00.000,444
21,2025-07-01 00:00:00.000,396
21,2025-08-01 00:00:00.000,433
21,2025-09-01 00:00:00.000,375
21,2025-10-01 00:00:00.000,47
21,2025-11-01 00:00:00.000,374
21,2025-12-01 00:00:00.000,497
22,2025-01-01 00:00:00.000,234
22,2025-02-01 00:00:00.000,325
22,2025-03-01 00:00:00.000,340
22,2025-04-01 00:00:00.000,357
22,2025-05-01 00:00:00.000,183
22,2025-06-01 00:00:00.000,435
22,2025-07-01 00:00:00.000,32
22,2025-08-01 00:00:00.000,407
22,2025-09-01 00:00:00.000,273
22,2025-10-01 00:00:00.000,203
22,2025-11-01 00:00:00.000,111
22,2025-12-01 00:00:00.000,495
23,2025-01-01 00:00:00.000,219
23,2025-02-01 00:00:00.000,422
23,2025-03-01 00:00:00.000,108
23,2025-04-01 00:00:00.000,253
23,2025-05-01 00:00:00.000,137
23,2025-06-01 00:00:00.000,165
23,2025-07-01 00:00:00.000,424
23,2025-08-01 00:00:00.000,145
23,2025-09-01 00:00:00.000,172
23,2025-10-01 00:00:00.000,280
23,2025-11-01 00:00:00.000,295
23,2025-12-01 00:00:00.000,66
24,2025-01-01 00:00:00.000,289
24,2025-02-01 00:00:00.000,436
24,2025-03-01 00:00:00.000,248
24,2025-04-01 00:00:00.000,403
24,2025-05-01 00:00:00.000,175
24,2025-06-01 00:00:00.000,457
24,2025-07-01 00:00:00.000,349
24,2025-08-01 00:00:00.000,390
24,2025-09-01 00:00:00.000,24
24,2025-10-01 00:00:00.000,23
24,2025-11-01 00:00:00.000,50
24,2025-12-01 00:00:00.000,320
