product_key,product_code,product_name,brand,category,subcategory,unit_price,primary_supplier,source_id
32,"BEA-032","Fragrance M032","Globex","beauty","Fragrance",679.53,"Supplier B","SAP-100032"
33,"IND-033","Tools M033","Initech","industrial","Tools",274.75,"Supplier C","SAP-100033"
34,"IND-034","Safety M034","Umbra","industrial","Safety",654.05,"Supplier D","SAP-100034"
35,"IND-035","Fasteners M035","Stark","industrial","Fasteners",689.34,"Supplier E","SAP-100035"
36,"ELE-036","Phones M036","Wayne","electronics","Phones",568.39,"Supplier F","SAP-100036"
37,"ELE-037","Laptops M037","Soylent","electronics","Laptops",191.04,"Supplier G","SAP-100037"
38,"ELE-038","Audio M038","Hooli","electronics","Audio",858.85,"Supplier H","SAP-100038"
39,"APP-039","Mens M039","Vanta","apparel","Mens",545.07,"Supplier I","SAP-100039"
40,"APP-040","Womens M040","Lumen","apparel","Womens",336.24,"Supplier J","SAP-100040"
41,"APP-041","Kids M041","Acme","apparel","Kids",226.92,"Supplier K","SAP-100041"
42,"HOM-042","Kitchen M042","Globex","home","Kitchen",84.7,"Supplier L","SAP-100042"
43,"HOM-043","Furniture M043","Initech","home","Furniture",880.52,"Supplier M","SAP-100043"
44,"HOM-044","Decor M044","Umbra","home","Decor",598.88,"Supplier N","SAP-100044"
45,"SPO-045","Fitness M045","Stark","sports","Fitness",481.99,"Supplier O","SAP-100045"
46,"SPO-046","Outdoor M046","Wayne","sports","Outdoor",837.09,"Supplier A","SAP-100046"
47,"SPO-047","Team M047","Soylent","sports","Team",645.96,"Supplier B","SAP-100047"
48,"BEA-048","Skincare M048","Hooli","beauty","Skincare",345.48,"Supplier C","SAP-100048"
49,"BEA-049","Makeup M049","Vanta","beauty","Makeup",234.4,"Supplier D","SAP-100049"
50,"BEA-050","Fragrance M050","Lumen","beauty","Fragrance",505.22,"Supplier E","SAP-100050"
51,"IND-051","Tools M051","Acme","industrial","Tools",641.44,"Supplier F","SAP-100051"
52,"IND-052","Safety M052","Globex","industrial","Safety",42.8,"Supplier G","SAP-100052"
53,"IND-053","Fasteners M053","Initech","industrial","Fasteners",261.45,"Supplier H","SAP-100053"
54,"ELE-054","Phones M054","Umbra","electronics","Phones",655.17,"Supplier I","SAP-100054"
55,"ELE-055","Laptops M055","Stark","electronics","Laptops",230.05,"Supplier J","SAP-100055"
56,"ELE-056","Audio M056","Wayne","electronics","Audio",98.48,"Supplier K","SAP-100056"
57,"APP-057","Mens M057","Soylent","apparel","Mens",378.83,"Supplier L","SAP-100057"
58,"APP-058","Womens M058","Hooli","apparel","Womens",593.31,"Supplier M","SAP-100058"
59,"APP-059","Kids M059","Vanta","apparel","Kids",659.47,"Supplier N","SAP-100059"
60,"HOM-060","Kitchen M060","Lumen","home","Kitchen",184.56,"Supplier O","SAP-100060"
