line_id,order_id,quantity,unit_price,unit_cost,discount,line_total,order_date,customer_id,product_key,flag_key,ship_to_city_key,bill_to_city_key
"L00123","ORD00009",5,617.05,388.74,0.05,3085.25,2026-07-03 00:00:00.000,1039,31,13,4,8
"L00124","ORD00061",2,412.55,276.41,0.1,825.1,2025-10-13 00:00:00.000,1016,5,12,8,4
"L00126","ORD00037",9,593.31,326.32,0.15,5339.79,2026-09-12 00:00:00.000,1058,58,13,20,12
"L00129","ORD00018",4,648.68,434.62,0.05,2594.72,2026-05-24 00:00:00.000,1012,4,14,7,15
"L00130","ORD00054",3,858.85,609.78,0.1,2576.55,2025-04-23 00:00:00.000,1044,38,8,19,3
"L00132","ORD00049",2,184.56,108.89,0.15,369.12,2026-07-18 00:00:00.000,1029,60,13,4,8
"L00135","ORD00049",7,191.04,135.64,0.05,1337.28,2026-07-18 00:00:00.000,1029,37,13,4,8
"L00136","ORD00011",9,598.88,329.38,0.1,5389.92,2026-07-12 00:00:00.000,1034,44,10,18,14
"L00138","ORD00018",3,234.4,147.67,0.15,703.2,2026-05-24 00:00:00.000,1012,49,14,7,15
"L00141","ORD00023",2,686.54,377.6,0.05,1373.08,2026-09-15 00:00:00.000,1055,6,7,2,10
"L00142","ORD00069",4,156.58,92.38,0.1,626.32,2025-04-02 00:00:00.000,1004,28,13,4,8
"L00144","ORD00068",10,203.17,136.12,0.15,2031.7,2026-10-31 00:00:00.000,1027,22,3,17,5
"L00147","ORD00001",6,505.22,298.08,0.05,3031.32,2026-09-12 00:00:00.000,1052,50,6,8,4
"L00148","ORD00003",5,648.68,408.67,0.1,3243.4,2026-03-24 00:00:00.000,1054,4,2,2,10
"L00150","ORD00060",4,679.53,482.47,0.15,2718.12,2025-12-29 00:00:00.000,1035,32,3,1,1
"L00153","ORD00069",10,886.92,558.76,0.05,8869.2,2025-04-02 00:00:00.000,1004,14,13,4,8
"L00154","ORD00049",7,880.52,589.95,0.1,6163.64,2026-07-18 00:00:00.000,1029,43,13,4,8
"L00156","ORD00032",4,694.96,382.23,0.15,2779.84,2026-05-06 00:00:00.000,1046,2,9,5,17
"L00159","ORD00020",7,798.62,535.08,0.05,5590.34,2025-03-23 00:00:00.000,1007,12,3,1,1
"L00160","ORD00036",3,837.09,594.33,0.1,2511.27,2025-04-06 00:00:00.000,1035,46,9,13,9
"L00162","ORD00015",6,823.13,485.65,0.15,4938.78,2026-04-14 00:00:00.000,1005,21,7,6,6
"L00165","ORD00079",6,355.52,252.42,0.05,2133.12,2026-04-11 00:00:00.000,1010,29,10,14,18
"L00166","ORD00003",5,234.4,128.92,0.1,1172,2026-03-24 00:00:00.000,1054,49,2,2,10
"L00168","ORD00027",3,105.46,66.44,0.15,316.38,2026-04-02 00:00:00.000,1046,8,10,10,2
"L00171","ORD00077",7,274.75,151.11,0.05,1923.25,2025-06-13 00:00:00.000,1020,33,12,20,12
"L00172","ORD00005",1,319.4,188.45,0.1,319.4,2025-04-12 00:00:00.000,1021,9,1,16,16
"L00174","ORD00077",2,568.39,380.82,0.15,1136.78,2025-06-13 00:00:00.000,1020,36,12,20,12
"L00177","ORD00006",7,98.48,58.1,0.05,689.36,2026-04-29 00:00:00.000,1059,56,5,3,19
"L00178","ORD00052",5,220.9,139.17,0.1,1104.5,2025-12-02 00:00:00.000,1009,1,3,5,17
"L00180","ORD00030",2,505.22,358.71,0.15,1010.44,2025-05-05 00:00:00.000,1015,50,5,11,11
"L00183","ORD00008",9,191.04,120.36,0.05,1719.36,2025-11-05 00:00:00.000,1016,37,3,17,5
"L00184","ORD00018",7,76.56,51.3,0.1,535.92,2026-05-24 00:00:00.000,1012,13,14,7,15
"L00186","ORD00038",5,624.02,343.21,0.15,3120.1,2026-08-14 00:00:00.000,1050,3,5,7,15
"L00189","ORD00041",7,76.56,51.3,0.05,535.92,2025-07-28 00:00:00.000,1030,13,6,8,4
"L00190","ORD00074",7,624.02,443.05,0.1,4368.14,2026-02-20 00:00:00.000,1058,3,4,19,3
"L00192","ORD00042",2,641.44,378.45,0.15,1282.88,2026-01-15 00:00:00.000,1049,51,5,15,7
"L00195","ORD00019",10,545.07,387,0.05,5450.7,2025-03-26 00:00:00.000,1052,39,7,14,18
"L00196","ORD00067",8,351.41,193.28,0.1,2811.28,2026-02-28 00:00:00.000,1007,15,7,10,2
"L00198","ORD00053",1,727.47,458.31,0.15,727.47,2026-06-06 00:00:00.000,1054,20,6,12,20
